colour	x	y	group
#C99800	0.250132908027645	0.0454545454545455	3
#C99800	0.260765550239234	0.0454545454545455	3
#C99800	0.436204146730463	0.0459731369600166	3
#C99800	0.457469431153642	0.0459731369600166	3
#C99800	0.462785752259436	0.0459731369600166	3
#C99800	0.468102073365231	0.0459731369600166	3
#C99800	0.473418394471026	0.0459731369600166	3
#C99800	0.478734715576821	0.0459731369600166	3
#C99800	0.484051036682616	0.0459731369600166	3
#C99800	0.48936735778841	0.0459731369600166	3
#C99800	0.494683678894205	0.0459731369600166	3
#C99800	0.505316321105795	0.0459731369600166	3
#C99800	0.51063264221159	0.0459731369600166	3
#C99800	0.515948963317384	0.0459731369600166	3
#C99800	0.521265284423179	0.0459731369600166	3
#C99800	0.526581605528974	0.0459731369600166	3
#C99800	0.531897926634769	0.0459731369600166	3
#C99800	0.537214247740563	0.0459731369600166	3
#C99800	0.542530568846358	0.0459731369600166	3
#C99800	0.558479532163743	0.0459731369600166	3
#C99800	0.563795853269538	0.0459731369600166	3
#C99800	0.574428495481127	0.0459731369600166	3
#C99800	0.585061137692717	0.0459731369600166	3
#C99800	0.590377458798511	0.0459731369600166	3
#C99800	0.595693779904306	0.0459731369600166	3
#C99800	0.601010101010101	0.0459731369600166	3
#C99800	0.611642743221691	0.0459731369600166	3
#C99800	0.616959064327485	0.0459731369600166	3
#C99800	0.627591706539075	0.0459731369600166	3
#C99800	0.638224348750665	0.0459731369600166	3
#C99800	0.648856990962254	0.0464917284654877	3
#C99800	0.728601807549176	0.0485660944873723	3
#C99800	0.733918128654971	0.0485660944873723	3
#C99800	0.739234449760766	0.0485660944873723	3
#C99800	0.74455077086656	0.0485660944873723	3
#C99800	0.760499734183945	0.0485660944873723	3
#C99800	0.76581605528974	0.0485660944873723	3
#C99800	0.771132376395534	0.0485660944873723	3
#C99800	0.776448697501329	0.0485660944873723	3
#C99800	0.787081339712919	0.0485660944873723	3
#C99800	0.797713981924508	0.0464917284654877	3
#C99800	0.818979266347687	0.0490846859928434	3
#C99800	0.850877192982456	0.0501218690037857	3
#C99800	0.856193514088251	0.0501218690037857	3
#C99800	0.87745879851143	0.0506404605092569	3
#C99800	0.882775119617225	0.0506404605092569	3
#C99800	0.88809144072302	0.0506404605092569	3
#C99800	0.898724082934609	0.0506404605092569	3
#C99800	0.904040404040404	0.0506404605092569	3
#C99800	0.914673046251994	0.0506404605092569	3
#C99800	0.919989367357788	0.0506404605092569	3
#C99800	0.925305688463583	0.058419333091324	3
#C99800	0.930622009569378	0.058419333091324	3
#C99800	0.935938330675173	0.058419333091324	3
#C99800	0.941254651780968	0.058419333091324	3
#C99800	0.946570972886762	0.058419333091324	3
#C99800	0.951887293992557	0.058419333091324	3
