fill	x	y	group	clickSelects
#FCBA83	0.172446238897241	0.51013185155737	1	Bomi
#FCBA83	0.172091587335338	0.510679636245772	1	Bomi
#FCBA83	0.168349022075876	0.512279687170014	1	Bomi
#FCBA83	0.163480823593042	0.515163676116069	1	Bomi
#FCBA83	0.158489268044502	0.518121280395307	1	Bomi
#FCBA83	0.149435740549597	0.522715743266953	1	Bomi
#FCBA83	0.149239690928401	0.522800184384985	1	Bomi
#FCBA83	0.144527891583991	0.524863578879598	1	Bomi
#FCBA83	0.141338230313117	0.525617053469079	1	Bomi
#FCBA83	0.141494629451541	0.52735783959004	1	Bomi
#FCBA83	0.140080428805289	0.529050992259561	1	Bomi
#FCBA83	0.139529727618984	0.532036743578142	1	Bomi
#FCBA83	0.136042687712891	0.538395809296469	1	Bomi
#FCBA83	0.135897302598707	0.538657793276235	1	Bomi
#FCBA83	0.135950169911207	0.539504369610996	1	Bomi
#FCBA83	0.137776295046046	0.541041630986902	1	Bomi
#FCBA83	0.138474584148819	0.542217311164964	1	Bomi
#FCBA83	0.139514307986973	0.548084886273575	1	Bomi
#FCBA83	0.144554325240241	0.555004727619602	1	Bomi
#FCBA83	0.155854713570911	0.570518076570655	1	Bomi
#FCBA83	0.160562107307549	0.573518983987708	1	Bomi
#FCBA83	0.159484935788906	0.584976994125118	1	Bomi
#FCBA83	0.158447414753035	0.596010633517924	1	Bomi
#FCBA83	0.160002594902494	0.609521212366675	1	Bomi
#FCBA83	0.167082409349297	0.61338601737456	1	Bomi
#FCBA83	0.181418262617906	0.609018895973688	1	Bomi
#FCBA83	0.200529796567665	0.597482940187895	1	Bomi
#FCBA83	0.214947153610513	0.580016619743579	1	Bomi
#FCBA83	0.222659173017862	0.576060878149589	1	Bomi
#FCBA83	0.25753177490672	0.590233994998567	1	Bomi
#FCBA83	0.262897807260152	0.585620045714825	1	Bomi
#FCBA83	0.269312374673694	0.586328052010466	1	Bomi
#FCBA83	0.270453427529077	0.583480870731004	1	Bomi
#FCBA83	0.270938044573154	0.582318181493814	1	Bomi
#FCBA83	0.268933492257824	0.579356246899376	1	Bomi
#FCBA83	0.253509453446333	0.575731774304713	1	Bomi
#FCBA83	0.25283759799981	0.568809767802662	1	Bomi
#FCBA83	0.249150102858338	0.565185295207998	1	Bomi
