size	colour	x	y	fill
1.018	#F8766D	0.187961319629113	0.565792102070857	#F8766D
1.45	#E58700	0.513500241316736	0.581643063930982	#E58700
1	#C99800	0.356347436936937	0.725790937216598	#C99800
1.108	#A3A500	0.415434656329937	0.452024497450921	#A3A500
1.018	#6BB100	0.1381715222717	0.628686271584938	#6BB100
1.018	#00BA38	0.765943977828838	0.385199658857896	#00BA38
1.27	#00C0AF	0.435089445987428	0.876454395409604	#00C0AF
1.81	#00BCD8	0.306969387842117	0.513589065784732	#00BCD8
1.414	#619CFF	0.257467563148779	0.521685453372068	#619CFF
1.126	#B983FF	0.669293562721241	0.584513910375245	#B983FF
1.036	#E76BF3	0.842852240042831	0.241927245099761	#E76BF3
1	#FD61D1	0.493929070127295	0.380939712722665	#FD61D1
1	#FF67A4	0.669293562721241	0.293505741887687	#FF67A4
